name,company,location,salary,industry,type,skills
Software Engineering Internship,ME Creative Studio,Malaysia,Negotiated,Full-stack Developer,Internship,HTML & CSS | JavaScript | Java
Tech Lead,Truuue,Singapore,Negotiated,Full-stack Developer | Back-End Developers | System Software Analyst | Architect,Full-Time | Co-Founder,swagger | aws | linux | postgrsql | django | python
Case Consultant,Active Global Specialised Caregivers,Singapore,3000 - 3400 SGD,Business Development | Customer Service | Others,Full-Time,Teamwork | Attitude | Sales
Front-End Developer Featured,Qiscus,Indonesia,3000000 - 7000000 IDR,Front-End Developers,Full-Time,AngularJS | jQuery | angular | front end developer
Junior PHP Developer,Combinesell,Malaysia,Negotiated,Full-stack Developer | Back-End Developers,Full-Time,PHP | MySQL | HTML | Javascript
Senior PHP Full Stack Developer Remote Available,Combinesell,Malaysia,Negotiated,Full-stack Developer | Back-End Developers,Full-Time,Laravel | MySQL | Javascript | Javascript Framework
Node.js Server Developer,gumi Asia Pte Ltd,Singapore,4500 - 5500 SGD,Back-End Developers,Full-Time,Node.js
Software Developer,Lockswitch,Malaysia,800 - 1500 USD,Design | UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,Web-Backend | Web-Front End | Non-SQL | SQL | Windows application developement
UX Lead Remote Available,Tree AMS,Singapore,20000 - 35000 SGD,UI/UX,Full-Time,Interactive Design | Communication Skills | User Research | Process Creation
Sales Consultant,Active Global Specialised Caregivers,Singapore,3000 - 3400 SGD,Business Development | Customer Service,Full-Time,healthcare | Sales
Technical Lead Remote Available,Tree AMS,Singapore,20000 - 35000 SGD,Technical Support | Front-End Developers | Project Management,Full-Time,Product Management | Front End Development | AWS Cloud | Vue JS
Web Developer,Hiverlab,Singapore,2500 - 3000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time | Part-Time | Contract,MySQL | JSON | JavaScript | PHP | HTML
"Unity Developer, Technologist",Hiverlab,Singapore,2800 - 3500 SGD,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time | Internship,database | unity3d
Interactive Designer,Hiverlab,Singapore,Negotiated,Design,Full-Time | Part-Time | Internship,design | ui ux
community manager,Hiverlab,Singapore,2000 - 2800 SGD,Public Relations,Part-Time | Freelance,simple video/photo skill | writing | presentation
Innovation Manager Featured,The Creative Square,Singapore,6500 - 8500 SGD,Corporate Support | Project Management | Others,Full-Time,Building a team | Team management | Project management | High Level Executive Support | Research | Business implementation
Business Development Exectuive,Ematic Solutions,Vietnam,Negotiated,Business Development,Full-Time,Sales | Business Development | CRM | Sales & Marketing
Business Development (Sales & Operation) Executive,Cudy,Singapore,1500 - 2500 SGD,Business Development | Customer Service | Public Relations,Full-Time,customer service | customer discovery | public relation | marketing | sales | customer relation management | communication | business development
Graphic Designer,Oriental Eagle Pte Ltd,Singapore,Negotiated,Design | Marketing,Full-Time,Photoshop | Illustrator | InDesign | InVision | Sketch | HTML5 | JavaScript | CSS | UI | UI design
Graphic Designer,Valiantlytix Sdn. Bhd,Malaysia,161 - 355 SGD,UI/UX,Internship,inVision | UI/UX interface | Illustrator | Photoshop
Computer Science/IT Intern,Valiantlytix Sdn. Bhd,Malaysia,161 - 320 SGD,Analytics,Internship,Data science | Javascript | CSS | HTML
Campaign Acquisition Officer,Skolafund,Malaysia,Negotiated,Business Development | Public Relations | Project Management | Others,Full-Time | Freelance | Temporary | Contract,public relationship | business development | proposal writing | presenting | interviewing | writing | communications
Marketing Officer,Skolafund,Malaysia,Negotiated,Marketing | Public Relations | Others,Full-Time | Temporary | Contract,Public relations | Media relations | Content Creation | Graphic Design | Copywriting | Social Media Management | Social Marketing | Communications | Relationship management
Administrative Support Officer,Skolafund,Malaysia,Negotiated,Others,Full-Time | Temporary | Contract,documentation | administrative work | proposal | proposal writing | clerical | report writing | data entry
Finance Officer,Skolafund,Malaysia,Negotiated,Others,Full-Time | Contract,budgeting | bookkeeping | accounting | finance
Campaign & User Support,Skolafund,Malaysia,Negotiated,Customer Service | Public Relations | Others,Full-Time | Freelance | Temporary | Contract,Customer Service | Public Relations | Communications | Writing | User support | English Language | Malay Language | Speaking
Intern Lead Generate,Grub Cycle,Malaysia,Negotiated,Business Development,Internship,people skill | negotiation skill | Communication skill
Intern Business Development,Grub Cycle,Malaysia,Negotiated,Business Development,Internship,people skill | negotiation skill | Communication skill | Sales
Senior Front End Developer,Plus65 Interactive Pte Ltd,Singapore,Negotiated,Front-End Developers,Full-Time,Javascript | HTML | Reactjs | React Native
Back End Developer,Plus65 Interactive Pte Ltd,Singapore,Negotiated,Back-End Developers,Full-Time,Git Flow | Git | PostgreSQL | MariaDB | MySQL | Laravel | Php
Marketing Associate / Marketing Intern,Lumen Lab (HK) Ltd,Hong Kong,Negotiated,Design | Marketing | Project Management,Full-Time | Internship,Adobe Suites | detail-oriented | organized
Business Development Associate,Lumen Lab (HK) Ltd,Hong Kong,Negotiated,Business Development | Project Management,Full-Time,Social Media | Slack | MS Office | Google Apps | Cantonese | Mandarin | English | Effective Communicator
Business Development Manager,Lumen Lab (HK) Ltd,Hong Kong,Negotiated,Business Development | Project Management,Full-Time,Effective Communicator | English | Cantonese | Mandarin | Google Apps | MS Office | Slack
Associate Product Manager,igloohome,Singapore,Negotiated,Project Management,Full-Time,3D Modelling / Prototyping | PCB | Product Development | Internet of Things (IoT) | Mechatronics | Analytical Skills | Firmware | Product Management
Visual Designer (Temporary - 3 months),igloohome,Singapore,3000 - 3800 SGD,Design,Temporary | Contract,Visual Design | Prototyping | User Interface Prototyping | Digital Artwork
Customer Intelligence Analyst Intern,Jumo Singapore Pte Ltd,Singapore,1000 - 1100 SGD,Analytics | Corporate Support | Project Management | Others,Internship,"Tableau | Proficiency in Microsoft Office (Excel, Word, PowerPoint etc."
HR Generalist,Ematic Solutions,Vietnam,Negotiated,Corporate Support,Full-Time,Talent Acquisition | People's Management | Operations
PHP FullStack Developer Remote Available,AOne,Malaysia,Negotiated,UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time | Part-Time | Freelance | Internship | Temporary | Contract,PHP | PHP Laravel | Laravel
Web Developer Internship Remote Available,AOne,Malaysia,Negotiated,UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time | Part-Time | Freelance | Internship | Temporary | Contract,PHP | Laravel | PHP Laravel
Java Developer,AMK Solutions PVT LTD,Malaysia,5000 - 7000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers | Others,Full-Time | Temporary | Contract,fullstack | backend | frontend | hibernate | boot | spring | javascript | jsf | j2ee | java
Travel writer for Indonesia and Thailand travel stories,TripCanvas,Malaysia,Negotiated,Editorial,Full-Time | Part-Time | Freelance | Contract,Google Docs | Instagram | Facebook marketing | Google Analytics
Chinese writer for a popular online travel magazine,TripCanvas,Malaysia,Negotiated,Editorial,Full-Time | Internship | Temporary | Contract,Google Analytics | Instagram | Facebook marketing | Chinese | Google Docs
Managing editor and content strategist @ TripCanvas,TripCanvas,Malaysia,Negotiated,Analytics | Marketing | UI/UX | Editorial,Full-Time | Part-Time,Google Suites | Instagram | Facebook Marketing | Facebook Ads Manager | Google Webmasters | Google Analytics
Python / Big Data Backend Developer,Tapway,Malaysia,1800 - 2500 SGD,Back-End Developers,Full-Time | Freelance | Temporary | Contract,SQL | Lambda | CI | AWS | NoSQL | OOP | Python
StartUp CEO (3x headcounts),S. H. Pte Ltd,Singapore,Negotiated,Business Development | Corporate Support | Customer Service | Marketing | Public Relations | Project Management | Investment | Others,Full-Time | Co-Founder,director | strategy | business development | seek funding | management | senior management | top management | top executive | startup ceo | ceo
Multimedia & Creative Design Intern,Foodabox Dot Com Sdn Bhd,Malaysia,Negotiated,Corporate Support | Design | Technical Support | Back-End Developers | Editorial | Others,Internship,Content creation | Graphic design | Videography | Adobe illustrator | Web design | Website development | Concept design | Communication skills | Content research | Designer | Adobe dreamweaver | Video production | Detail design | Wordpress
Business Administrative Intern,Foodabox Dot Com Sdn Bhd,Malaysia,Negotiated,Analytics | Corporate Support | Back-End Developers | Others,Internship,Resourcefulness | Negotiation | Documentation | Typing | Microsoft
Machine Learning (Computer Vision) Intern Featured,XRVision,Singapore,1000 - 2200 SGD,Analytics | Back-End Developers | Big Data,Full-Time | Part-Time | Internship,facial recognition | video analytics | computer vision | Software Development | Deep Learning | Analytics (Visual and Numerical) | Python | Tensorflow | AI | DNN | ML
Software Test & Support Intern (AI Startup) Featured,XRVision,Singapore,1000 - 2000 SGD,Technical Support | Front-End Developers,Full-Time | Internship,software support | software testing
Omni-channel Retail Intern,ProfilePrint,Singapore,Negotiated,Business Development | Customer Service | Marketing,Full-Time | Internship,Retail Management | Marketing | Retail Operations
Software Engineer (Full-Stack - JavaScript) Featured,PigeonLab (Pigeonhole Live),Singapore,4000 - 9000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,vue.js | node.js | javascript
Full Stack Developer Remote Available,Actigage,Singapore,Negotiated,Full-stack Developer,Full-Time,JavaScript | CSS | HTML | REST API | MongoDB | AWS Web Services | AngularJS | Node.js
iOS Developer - Jogja Featured,Dploy Asia,Indonesia,8000000 - 15000000 IDR,Others,Full-Time,swift | iOS
Software Engineer (IT) - Jogja Featured,Dploy Asia,Indonesia,8000000 - 15000000 IDR,Software-system Administrator,Full-Time,node js | vue js | golang | elixir | english
Creative Growth Hacker,Hiverlab,Singapore,2500 - 4000 SGD,Business Development | Customer Service,Full-Time | Internship,account management | business development
Software Sales Personnel,Trybe Technologies,Malaysia,Negotiated,Business Development,Freelance,Speaks English & Malay or Cantonese/Mandarin
HR Executive (recruiting) Part Time,Popular Chips,Singapore,1000 - 2000 SGD,Others,Part-Time,HR | Recruitment | Recruiting
Web Developer (Full-Stack LEMP),Popular Chips,Singapore,500 - 4000 SGD,Full-stack Developer,Full-Time | Part-Time | Internship,php | mysql | css | html | javascript | jquery
Internship: LEMP Developer,Popular Chips,Singapore,500 - 1000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers,Internship,jquery | javascript | css | html | mysql | php
LinkedIn Guru - Influencer Marketing,Popular Chips,Singapore,2000 - 4000 SGD,Marketing,Full-Time,marketing | linkedin
Account Executive,Have Halal Will Travel,Singapore,Negotiated,Business Development,Full-Time,Presentation Skills | Account Management | Good Communication Skills | Digital Campaign | Microsoft Office
Account Executive - KL,Have Halal Will Travel,Malaysia,Negotiated,Business Development,Full-Time,Microsoft Office | Digital Campaign | Good Communication Skills | Account Management | Presentation Skills
Content Writer,Have Halal Will Travel,Malaysia,Negotiated,Editorial,Full-Time,photography | editorial | english | writing
Junior Web Developer,Bravo Net,Malaysia,Negotiated,Back-End Developers,Full-Time,Mobile app | CSS | HTML | Javascript | PHP
(Remote) Sales Leads Hero Featured Remote Available,XooGuu,Indonesia,5000000 - 5000000 IDR,Marketing,Full-Time | Part-Time,sales | digital marketing
Junior Graphic Designer,FLEXIROAM,Malaysia,727 - 1000 SGD,Design,Full-Time,"Creative flair and a strong visual sense | Attention to details | Highly motivated, fast, precise, accountable and passionate | Excellent communication skills | Experienced in using Adobe Suite programs (AI/PS/ID/AE/XD)"
Venture Capital Research Associate,"Yushan Ventures, Inc",Taiwan,Negotiated,Analytics | Corporate Support | Others,Full-Time | Part-Time | Internship | Contract,digitization | automotive | scouting | research
Operational Account Manager,Insider,Indonesia,Negotiated,Customer Service,Full-Time,Communication | Problem-Solving | Technology | Digital Marketing | Software | SaaS | Customer Service | Partnership Success
Sales Manager,Insider,Indonesia,Negotiated,Business Development,Full-Time,Customer Success | Problem-Solving | Consultative Sales | Digital Marketing | Technology | Network | SaaS | Software | Communication | Management | Business Development | Sales
Operations and Logistics Assistant (Yogyakarta),EngageMedia,Indonesia,3750000 - 4750000 IDR,Corporate Support,Full-Time,administration | finance | accounting | logistics | operations
Administration and Finance Manager (Manila),EngageMedia,Philippines,1200 - 1700 USD,Corporate Support,Full-Time,finance | accounting | grant management | administration | operations | non-profit management
Fullstack JAVA/JS Developer,New Wealth,Singapore,3600 - 7000 SGD,Full-stack Developer | Back-End Developers | Architect,Full-Time,Git | ReactJS | NodeJs | Java 8
Kayak Fishing Adventure Guide,Kayak Fishing Fever Pte. Ltd.,Singapore,Negotiated,Business Development | Customer Service | Marketing | Others,Full-Time | Part-Time | Freelance | Internship | Temporary | Contract,Swimming abilities | Presentation skills | English proficiency | Fishing proficiency
Marketing Management & Communications Manager,Arcadier,Singapore,Negotiated,Marketing | Public Relations | Project Management,Full-Time,project management | public relations | marketing
Company Intern,Adventoro Travel Technologies Sdn Bhd,Malaysia,Negotiated,Others,Internship,Good command of English | Writing
Creative Project Manager - Full Time Featured Remote Available,Superside,Singapore,Negotiated,Project Management,Full-Time | Contract,design | microsoftoffice
Events Intern,Digimatic Media Pte Ltd,Singapore,800 - 1000 SGD,Customer Service,Internship,Friendly | Committed | Motivated | Outgoing
Operation & Finance Intern,Eat Drink Play Repeat Sdn Bhd,Malaysia,Negotiated,Others,Internship,customer service | excel | organising | time management
Data/Tech Intern,BioMark,Singapore,1000 - 1000 SGD,Analytics,Internship,Analytics | XML | Javascript | Microsoft Power BI | Microsoft Excel
Front-End Developer,4X Software Sdn Bhd,Malaysia,Negotiated,Front-End Developers,Full-Time,JSON | Javascript | Ajax | CSS | Html
Solutions Consultant,Workato,Singapore,4000 - 8000 SGD,Others,Full-Time,Analytical Skills | Strong Critical Thinking | Strong Collaboration Skills
Solutions Engineering Intern,Workato,Singapore,800 - 1500 SGD,Others,Internship,Analytical Skills | Strong Critical Thinking
Sales Consultant,Workato,Singapore,3500 - 7000 SGD,Business Development | Others,Full-Time,Strong written and verbal English communication skills
Integration Developer,Workato,Singapore,4000 - 8000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers | Others,Full-Time,"Java Programming | Relational Databases (e.g. MS SQL Server, Oracle)"
Trainee Consultant,Workato,Singapore,2800 - 3800 SGD,Others,Full-Time,Strong Collaboration Skills | Strong Analytical Skills
Human Resource / Talent Acquisition Featured,Perromart,Singapore,3000 - 5000 SGD,Others,Full-Time,Human Relations | Initiative | Effective Communication Skills
Talent Acquisition,Workato,Singapore,3000 - 6000 SGD,Others,Full-Time,Knowledge of Applicant Tracking Systems | Resume Database | Familiar with Social Media
Digital Marketing Officer Featured,Perromart,Singapore,2500 - 3500 SGD,Business Development | Marketing,Full-Time,data analytics | contents marketing | SEM | SEO | Digital Marketing
Business Systems Analyst (Marketo Certified Specialist),Workato,Singapore,4000 - 6000 SGD,Analytics,Full-Time,Marketo | iPaas Tools | Salesforce Platforms | Excellent Written and Communication Skills in English
Marketing Intern,Workato,Singapore,800 - 1000 SGD,Marketing,Internship,Marketing Tools (e.g. Eventbrite) | Photo/Video Editing Tools (e.g. Adobe Creative Cloud) | Excellent Written and Verbal Communications Skills
Business Analysis Intern,Workato,Singapore,800 - 1200 SGD,Analytics,Internship,Analytical Skills | Knowledge of Analytics Tools
Data Engineering Intern,Workato,Singapore,800 - 1000 SGD,Analytics | Others,Internship,Spark | Python | SQL
Content Writer (Malaysia News & Current Affairs) Remote Available,Blackwilder,Malaysia,Negotiated,Editorial,Part-Time,Editing | Writing
Senior Java Developer,Workato,Singapore,5000 - 10000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,Java and JEE Internals | Relational Databases | SQL | ORM Technologies | Spring/Vert.x Framework
Senior Ruby On Rails Developer,Workato,Singapore,5000 - 10000 SGD,Full-stack Developer | Front-End Developers | Back-End Developers,Full-Time,Ruby On Rails | Analytical Skills | JavaScript frameworks | Redis/Memcache | Problem-solving Skills
Distributed Systems Engineer,Workato,Singapore,5000 - 10000 SGD,Others,Full-Time,PostgreSQL | Golang | Docker | Terraform | Public Cloud Infrastructure Providers (AWS/Azure/Google Cloud)
Senior UX Designer,Workato,Singapore,Negotiated,Design,Full-Time,InVision | Illustrator | Sketch
Quality Assurance (QA) Analyst For Online Travel Company,Wego Pte Ltd,Singapore,1000 - 3000 SGD,Analytics | Project Management | System Software Analyst,Full-Time | Part-Time | Freelance | Internship | Temporary | Contract,qa testing | quality assurance | qa analyst
Senior Server Side Engineer,Workato,Singapore,5000 - 10000 SGD,Others,Full-Time,Go/Ruby/NodeJS/Java | Redis/Memcache based caching | RDBMS engines(Postgres)
Marketing Executive,Kinnetik Pte Ltd,Singapore,Negotiated,Marketing,Full-Time,Marketing
Accounts Assistant,Datesmith,Malaysia,Negotiated,Corporate Support | Others,Full-Time,Xero | Microsoft Office | Microsoft Excel | Admin | Invoice Processing | Finance | Basic Accounting
Business Analyst (Netsuite),Workato,Singapore,4000 - 6000 SGD,Analytics,Full-Time,Salesforce Platforms | Netsuite | Excellent Written and Oral Communication Skills in English
Head of Performance Marketing,Propseller,Singapore,5000 - 9000 SGD,Analytics | Marketing,Full-Time,Analytics | Adwords | Performance Marketing | Online Marketing | Marketing
Business Development,Kinnetik Pte Ltd,Singapore,Negotiated,Business Development,Full-Time,Business Development
Concierge Nomad (Malaysia) Featured,The Luxe Nomad,Malaysia,450 - 1200 USD,Customer Service | Project Management,Full-Time,problem-solving | quick-thinking | adaptable | resourceful | project management | personable | multitasking | attention to detail
Travel writer for Malaysia travel stories,TripCanvas,Malaysia,Negotiated,Editorial,Full-Time | Part-Time | Contract,Google Analytics | Facebook marketing | Instagram | Google Docs
Operation Intern,Park N Parcel,Singapore,500 - 1000 SGD,Customer Service | Marketing | Project Management,Internship,Sales | Operation
Real Estate Agent,Propseller,Singapore,2500 - 20000 SGD,Business Development,Full-Time,Account Management | Sales
FRONT END DEVELOPER Remote Available,Active8me,Singapore,Negotiated,Front-End Developers,Contract,UI/UX | mobile development | ionic | css3 | html | angular
Venture Development Intern,Propseller,Singapore,1800 - 2000 SGD,Analytics | Project Management | Others,Internship,Drive | Analytics
"CULTURE, TALENT AND ADMIN EXECUTIVE",Mad Hat PR,Malaysia,Negotiated,Marketing | Public Relations | Others,Full-Time | Internship,Inventory Management | Basic Accounting | Human Resources | Business Management
Marketing & Social Media Intern Remote Available,Kinnetik Pte Ltd,Singapore,Negotiated,Marketing,Part-Time | Internship,intern | creative | Marketing
Event Manager (Jedi Master),Fotobox Co.,Malaysia,Negotiated,Project Management,Full-Time,hardworking | time management
Corporate Support Executive (Finance and Admin),ProfilePrint,Singapore,1800 - 2500 SGD,Corporate Support,Full-Time,detail-oriented | inventory management | administrative | accounting | finance
Product Operations Manager,Workato,Singapore,4000 - 8000 SGD,Business Development | Public Relations | Others,Full-Time,Time-Management Skills | Product Management
Fashion Sample Maker - Pattern Maker - Fashion Designer,3P Ecotecture,Singapore,Negotiated,Design | Others,Part-Time | Freelance | Internship | Temporary | Contract,Fashion Design | Pattern making | Sample making
Graphic Designer (Intern),Fotobox Co.,Malaysia,Negotiated,Design,Internship,AI | premiere pro | photoshop | Adobe After Effect
Partner Development Executive,FLEXIROAM,Malaysia,1326 - 1658 SGD,Business Development,Full-Time,resourceful | Adaptable | Self driven | accurate in communication | consistent | tactful | Detail oriented | Familiar with e-commerce | 3 years experience in online sales | Proficient in English
UI/UX Designer Featured,Excide,Singapore,Negotiated,Design,Full-Time,Balsamiq | Usability Testing | Prototyping | Wireframing | Web Design | Illustrator | Sketch
Inside Sales Agent Featured,Propseller,Singapore,2500 - 4000 SGD,Business Development,Full-Time,Sales | Real Estate | Property | Inside Sales | Account Management | Client Success | Business Development | Growth
Software Development Interns,EasyWork Asia Sdn. Bhd.,Malaysia,Negotiated,Full-stack Developer | Front-End Developers,Internship,React Native | Android | iOS | Javascript
Growth Guru / Business Manager,OneOneDay,Hong Kong,Negotiated,Business Development,Full-Time,Business Development
Digital Account Executive,Wild Raccoon,Malaysia,Negotiated,Marketing,Full-Time | Contract,Highly Organised | Oral and Written Communication Skills | Pro-Active | Detail Orientated | Microsoft Office | Facebook Ads Manager
Copywriter,Wild Raccoon,Malaysia,Negotiated,Analytics | Business Development | Customer Service | Design | Marketing | Public Relations | Editorial | Others,Full-Time,Highly organised | An eye for detail | Fun Personality | Strong command of written English and Chinese and Malay
General Manager (Pack Leader),Fotobox Co.,Malaysia,Negotiated,Business Development,Full-Time,an eye for details | creative thinker
Sales Coordinator,SimplerCloud Pte Ltd,Singapore,900 - 2400 SGD,Business Development | Others,Full-Time | Part-Time,communication | sales | telemarketing
"Digital Designer (UX, UI, Web)",Fixx Digital,Malaysia,Negotiated,Design | UI/UX,Full-Time,Figma | Adobe XD | Adobe Photoshop
Data Analyst Remote Available,Datesmith,Singapore,3000 - 6000 SGD,Analytics | Technical Support | Project Management | System Software Analyst | Others,Full-Time,Metabase | Dashboard Tools | Statistics | Design | Analysis | Analytics | IT | Computer Science | AWS | Python | SQL
Sales Executive,Foodabox Dot Com Sdn Bhd,Malaysia,Negotiated,Analytics | Business Development | Corporate Support | Customer Service | Marketing | Public Relations | Front-End Developers | Project Management | Others,Full-Time | Internship,Teamwork | Sales | Sales and Marketing | Marketing | Customer service | Communication | Problem solving | Negotiation
Web Mobile Application Developer,Werebits,Malaysia,Negotiated,UI/UX | Full-stack Developer | Front-End Developers | Back-End Developers,Internship,css | sql | objective-c | java | vue.js | swift | kotlin | node.js | python | javascript | php
Production Intern,Foodabox Dot Com Sdn Bhd,Malaysia,Negotiated,Analytics | Design | Technical Support | Back-End Developers | Others,Full-Time | Internship,Solidworks | Mechanical Drawing | Mechanical Design | MathCAD | Geometric Dimensioning and Tolerancing | AutoCad
Production Executive,Foodabox Dot Com Sdn Bhd,Malaysia,Negotiated,Analytics | Corporate Support | Design | Technical Support | Back-End Developers | System Software Analyst | Others,Full-Time,Solidworks | Mechanical Drawing | Mechanical Design | MathCAD | Geometric Dimensioning and Tolerancing | AutoCad
Digital Marketing & SEO Intern,Artefact Malaysia,Malaysia,Negotiated,Analytics | Marketing,Internship,Excel | Analytical
Full Stack Developers,Tourego,Singapore,2500 - 5000 SGD,Full-stack Developer,Full-Time,REST APIs | MySQL | AWS | LAMP
Sales Development Representative,CombineSell,Singapore,Negotiated,Business Development,Full-Time,Software Knowledge | E-Commerce Knowledge | Sales
Marketing Intern Featured,Eatigo Singapore Pte Ltd,Singapore,Negotiated,Marketing,Internship,communication
Graphic Design Intern,ChargeUp,Malaysia,Negotiated,Design | UI/UX,Internship,adobe illustrator | adobe photoshop
Front End Developer,iZyoo Platform Sdn Bhd,Malaysia,Negotiated,Front-End Developers,Full-Time,"HTML, CSS, and JavaScript | CSS pre-processors (Sass)"
Business Development & Marketing Intern,Foodabox Dot Com Sdn Bhd,Malaysia,Negotiated,Analytics | Business Development | Corporate Support | Customer Service | Marketing | Public Relations | Front-End Developers | Project Management | Others,Internship,Sales & Marketing | Marketing Communications | Marketing | Communication Skill | Business Development | Digital Marketing | Business Analysis | Content Marketing | Sales Strategy & Management | Marketing Strategy | Business Development & Partnerships
Mobile Application Developers,Tourego,Singapore,2500 - 5000 SGD,Front-End Developers,Full-Time,Android | iOS | REST APIs
Operations Executive Featured,Create Lab Pte Ltd,Singapore,2000 - 3000 SGD,Business Development | Corporate Support | Customer Service | Project Management,Full-Time,management | marketing | business development
Business Development Executive (IT Firm),iZyoo Platform Sdn Bhd,Malaysia,Negotiated,Business Development,Full-Time,Interpersonal Skill | Coomunication Skill
Customer Support Personnel,SG Bike,Singapore,1600 - 2000 SGD,Customer Service,Full-Time,language ability | patience | communication skills
Client Management Executive,WiseSight Malaysia,Malaysia,Negotiated,Analytics,Full-Time,excel | Communication skill | Good project and time management
Corporate Insights Analyst Intern,WiseSight Malaysia,Malaysia,Negotiated,Analytics,Internship,communication skill | excel
Corporate Insights Analyst,WiseSight Malaysia,Malaysia,Negotiated,Analytics,Full-Time,excel | communication skill
Creative Digital Designer,Plexure Pte Ltd,Singapore,2300 - 3200 SGD,UI/UX,Full-Time,Photoshop | Pagemaker | Indesign | Illustractor
UX Designer,iZyoo Platform Sdn Bhd,Malaysia,Negotiated,UI/UX,Full-Time,UX Tools
Business Development Executive,WiseSight Malaysia,Malaysia,Negotiated,Business Development,Full-Time,communication skill
B2B Business Development Assistant Remote Available,Koolights,Singapore,Negotiated,Business Development | Corporate Support | Customer Service | Marketing,Part-Time | Freelance | Internship | Temporary | Co-Founder | Contract,content generation | social media marketing | mailchimp
Digital Designer,Wild Raccoon,Malaysia,Negotiated,Business Development | Customer Service | Design | Marketing | Public Relations | Project Management | Editorial | Others,Full-Time,Proficient in PC & MAC graphic design software applications
Junior Content Executive,Trip101,Singapore,Negotiated,Editorial,Full-Time,critical thinking | time management | research skills | editing | content writing | Proficient in English and excellent grammar skills
Business Development Account Executive,Kimbocorp,Singapore,Negotiated,Business Development | Corporate Support | Customer Service | Marketing | Project Management,Full-Time | Part-Time | Freelance | Internship | Temporary | Contract,business development | account management | corporate advisory | financial advisory | management consulting | consulting | Sales
Digital Sales Consultant/ Sales Manager/ Sales Executive,Republic Asia,Singapore,1800 - 2800 SGD,Business Development,Full-Time,Sales | Business Development
Multimedia & Creative Design INTERN,Foodabox Dot Com Sdn Bhd,Malaysia,Negotiated,Design | Technical Support | Back-End Developers | Editorial | Others,Internship,Wordpress | Detail design | Video production | Adobe dreamweaver | Designer | Content research | Communication skills | Concept design | Website development | Operations analysis & monitoring | Web design | Adobe illustrator | Videography | Graphic design | Content creation
Social Media Manager,Ematic Solutions,Vietnam,Negotiated,Marketing,Full-Time,Social Media Management | Social Media Marketing | Digital Marketing
Sales Manager/Business development executive,Kimbocorp,Singapore,Negotiated,Business Development | Corporate Support | Customer Service | Design | Marketing,Full-Time | Part-Time | Freelance | Internship | Temporary | Co-Founder | Contract,sales | business development | corporate support | financial | finance
Account Manager,Ematic Solutions,Malaysia,Negotiated,Business Development,Full-Time,Business Development | Consumer Branding | Sales Cycle
Account Manager,Barsociety Pte Ltd,Singapore,Negotiated,Customer Service,Full-Time,Entrepreneurship | Account Servicing | Customer Support | Customer Relationship Management
Operations Admin Intern,Earnest and Collective Pte Ltd,Singapore,650 - 800 SGD,Others,Internship,Admin | Inventory Management | Order fulfilment | Customer Experience | Customer Service | Operations
Customer Service Executive,Rely,Malaysia,Negotiated,Customer Service,Full-Time,communication
Concierge Nomad (Manila),The Luxe Nomad,Philippines,450 - 700 USD,Customer Service | Project Management,Full-Time,attention to detail | multitasking | personable | project management | resourceful | adaptable | quick-thinking | problem-solving
Nomad Trip Curator (Malaysia),The Luxe Nomad,Malaysia,450 - 1200 USD,Customer Service,Full-Time,personable | sales | friendly | analytical | hardworking | quick thinker
Social Media Manager,Ematic Solutions,Thailand,Negotiated,Marketing,Full-Time,Social Media Management | Social Media Markting
Community Operations Executive,Milieu Insight Pte Ltd,Singapore,Negotiated,Corporate Support | Customer Service | Others,Full-Time,Microsoft Excel | English
Digital Marketing,The Luxe Nomad,Malaysia,700 - 1500 USD,Analytics | Marketing,Full-Time,online marketing | digital marketing | analytical | seo | sem | innovative | hardworking | driven
Revenue Manager/Executive,The Luxe Nomad,Malaysia,1000 - 2000 USD,Business Development | Project Management | Others,Full-Time,Sales planning | Hardworking | Strong interpersonal skills | Analytical | Innovative | Fast Leaner | Independent | Teamwork | Detailed | Critical Thinker | Problem Solver
Boutique Advisor,PT Eurobutik Bangun Indonesia,Indonesia,Negotiated,Marketing,Full-Time,basic english | media sosial
Managing Partner - Digital Agency,Republic Asia,Singapore,Negotiated,Business Development | Marketing | Others,Full-Time | Part-Time | Co-Founder,Sales | Business Development | Marketing | General Management
Graphics & Email Marketing Associate (Manila),The Luxe Nomad,Philippines,450 - 600 USD,Marketing,Full-Time,design | graphics | edm | email | online marketing | digital marketing
Junior Operations Manager,Ematic Solutions,Taiwan,Negotiated,Corporate Support,Full-Time,Invoicing | AR | Business Support | Community Engagement
Administrative & Data Entry,Dropee,Malaysia,420 - 500 USD,Others,Full-Time,Administration | Data Entry | Precision | Accuracy
